"Table 5: All Claimants and those aged 16 to 24 by Local Authority, August 2017 to 2022 (non-seasonally adjusted)",,,,,,,,,,,,
Back to Contents,,,,,,,,,,,,
This worksheet contains one table with brief notes beneath. The Guidance worksheet contains further information on interpretation.,,,,,,,,,,,,
Source: ,,,,,,,,,,,,
"DWP Stat-Xplore, Alternative Claimant Count",,,,,,,,,,,,
,All ages,,,,,,Ages 16 to 24,,,,,
Local Authority,Aug-17,Aug-18,Aug-19,Aug-20,Aug-21,Aug-22, Aug-17, Aug-18, Aug-19, Aug-20, Aug-21, Aug-22
United Kingdom,1269184,1254570,1280856,2749220,2085002,1430877,192929,186673,209188,515038,352175,229308
County Durham,12727,13309,12863,21593,15049,9893,2441,2602,2653,4722,2887,1937
Darlington,3129,3081,3094,4587,3678,2544,601,583,630,909,730,471
Hartlepool,3867,3936,3281,5160,3590,2529,777,872,687,1104,738,546
Middlesbrough,5982,5626,5739,9258,7319,4989,1087,866,1027,1789,1266,880
Northumberland,6640,6585,6285,11357,8096,5604,1220,1148,1196,2353,1531,979
Redcar and Cleveland,4356,3866,3736,6216,4419,3088,867,672,692,1270,787,561
Stockton-on-Tees,5525,5344,5327,8808,6501,4694,1068,967,1047,1845,1267,882
Gateshead,5198,5455,5577,9899,7419,5035,896,912,1041,1975,1340,920
Newcastle upon Tyne,8086,8451,8590,15598,12088,7896,1351,1402,1475,2964,2010,1383
North Tyneside,4480,4580,4660,8240,5913,3950,726,777,942,1604,1088,710
South Tyneside,5242,5351,5380,8601,6611,4568,911,856,1000,1634,1155,793
Sunderland,8354,8369,8783,14345,10613,7390,1456,1400,1700,2962,1996,1377
Blackburn with Darwen,4361,4549,4583,7789,6508,4502,675,702,761,1578,1231,853
Blackpool,5116,4949,5323,10268,7287,5123,694,630,782,1788,1212,888
Cheshire East,4137,4547,4435,10975,7565,5118,584,669,672,2040,1267,807
Cheshire West and Chester,4575,5086,4994,11387,7740,5294,753,907,950,2240,1332,905
Halton,2944,3157,2962,5702,4118,2988,575,609,610,1192,874,653
Warrington,3183,3328,3106,6817,5057,3088,542,539,491,1260,885,482
Allerdale,1714,1762,1552,2778,2043,1235,317,315,275,550,355,215
Barrow-in-Furness,1454,1350,1319,2150,1630,1175,286,279,281,507,337,258
Carlisle,1504,1545,1572,3505,2638,1664,244,251,284,662,431,238
Copeland,1280,1340,1205,2039,1428,920,231,238,234,371,279,150
Eden,424,448,463,1235,765,550,57,43,60,203,120,65
South Lakeland,684,618,641,2291,1321,857,68,75,75,364,203,125
Bolton,8483,8525,8741,15913,12898,9505,1357,1316,1454,3007,2211,1552
Bury,4029,4023,4190,8474,6509,4618,675,611,733,1663,1260,868
Manchester,16003,16588,17853,35668,29082,20846,2270,2438,2920,6849,5117,3696
Oldham,6480,6973,7243,14031,11926,8381,1087,1329,1349,2989,2428,1648
Rochdale,6158,5928,6445,12270,10280,7522,938,897,1140,2345,1873,1197
Salford,6703,6750,7074,14445,11491,8022,1036,964,1252,2745,1962,1336
Stockport,4775,4589,4899,10847,8013,5529,761,625,741,1973,1486,913
Tameside,5561,5600,5543,11370,8515,5965,952,952,1018,2321,1542,1020
Trafford,3679,3662,3683,7984,6013,4130,461,545,593,1506,1081,626
Wigan,7357,7236,7477,14449,10274,7266,1244,1180,1355,2773,1821,1220
Burnley,2633,2887,2769,4871,3972,2623,476,575,543,990,756,529
Chorley,1673,1591,1515,3435,2367,1703,297,260,244,646,420,295
Fylde,1041,931,1008,2624,1685,1242,143,94,124,467,273,178
Hyndburn,2000,2176,2270,4105,3161,2453,366,402,410,865,603,479
Lancaster,2517,2583,2607,5016,3596,2358,449,478,438,995,707,455
Pendle,1968,1990,2109,4208,3612,2571,274,258,302,719,540,383
